,statute_code,charge_descriptions,charge_class,charge_label,Reason
403,27.145.(d).ii,"['CRED CRD-PERSONATN/L/T $500' 'CRED CARD PERSONATN + $300'
 'CRED CRD-PERSONATN/L/T $300'
 'Credit Card-Personating Holder $500 Or Less']",['Misdemeanor' 'Felony District Court'],5M,
405,27.231.(b),['FRAUD-PER.IDENT.INFO.THEFT' 'Fraud-Per.Ident.Info.Theft'],['Misdemeanor'],5M,
406,CR.8.603,"['POSS FORGED VEH TITLE'
 'Possess Forged, Counterfeit And Altered Motor Vehicle Title']",[nan 'Misdemeanor'],5M,
408,CR -6-301 - - -,"['MAL DESTR PROP VALUE + $500 (CJIS 3_4030)'
 'MAL DESTR PROP VALUE - $500 (CJIS 3_4025)']",['Misdemeanor'],5M,
411,27.121.(b).(2),['Disorderly Conduct'],['Misdemeanor'],5M,
415,CR.7.303.(c)(3)(i),['CABLE TV RECV SERV BY FRAUD'],[nan 'Misdemeanor'],5M,
416,27.468,"['LITTER/DUMP:UNDER 100 LBS' 'LITTER/DUMP:OVER 100 LBS'
 'Litter/Dump:Under 100 Lbs']",['Misdemeanor'],5M,
417,CR.5.505.(b),['Cds Remove/Alter Required Label' 'CDS REMOVE/ALTR REQD LABEL'],['Misdemeanor'],5M,
420,CR.7.303.(c)(4),['CABLE TV CON W/O AUTHORITY'],[nan 'Misdemeanor'],5M,
425,CR.12.102.(a)(3)(4),['GAMBL-KEEP/USE/PERMIT PLAC'],['Misdemeanor'],5M,
427,2B.12.108.(a)(i),['ALC BEV: SELL/FURNISH MINR'],['Misdemeanor' nan],5M,
428,CR.8.606.(b)(1),['PUBLIC RECORD-FALSE ENTRY' 'Public Record-False Entry'],['Misdemeanor' nan],5M,
432,CR.10.107.(b)(2),['TOBACCO PRODS - MINORS'],['Misdemeanor'],5M,
433,CR.12.103,"['GAMING/CARDS, DICE, ETC.' 'Gambing/Cards, Dice, Etc.']",[nan 'Misdemeanor'],5M,
436,5-3550,['CDS:POSS PARAPHERNALIA'],['Misdemeanor'],5M,
437,27.145.(b),['CRED CRD APLY FOR/FALSE ID'],['Misdemeanor'],5M,
440,CL016,['Resisting Arrest(CL016)'],['Misdemeanor'],5M,
446,CR.8.407,"['FRAUD CONVERSN/LEASE GOODS' 'FRAUD-CONV/LEASED GDS'
 'FRAUD-CONVERSION/LEASED GOODS' 'Fraud Conversion/Lease Goods'
 'FRAUD/CONVERSION-LEASED GOODS']",[nan 'Misdemeanor'],5M,
447,27 -287A - - -,"['CDS:POSS PARAPHERNALIA CJIS Code: 5 3550'
 'CDS:POSS PARAPHERNALIA (CJIS 5 3550)']",['Converted Degree' 'Misdemeanor'],5M,
449,CR.10.202,['DISORDERLY HOUSE'],[nan 'Misdemeanor'],5M,
451,CR.5.620,"['CDS MFGING MATERIAL:POSS/DISTR' 'CDS MFG MATERIAL POSS/DIST'
 'CDS MFG MAT POSS/DIST-MARI']",[nan 'Misdemeanor'],5M,
452,27 -150B - - -,['FALSE STMT TO PEACE OFFICER (CJIS 1 0690)'],['Misdemeanor'],5M,
454,27.15.(e),['PROSTITU:PROCURE/SOLICIT'],['Misdemeanor'],5M,
455,27.26,"['Intimidate/Influence/Impede Juror' 'Obstruct Justice'
 'INTIMIDATE/INFLUENCE JUROR' 'OBSTRUCT JUSTICE']",['Misdemeanor'],5M,
457,27.287B,"['CDS POS/PUR NONCONT SUBST'
 'Cds Possess/Purchase Noncontrolled Substance']",['Misdemeanor'],5M,
460,CR.8.611.(d),['COUNTERFEIT TM/UNDER $1000' 'Counterfeit Trademark/Under $1000'],[nan 'Misdemeanor'],5M,
464,CR.10.111.(b),['ALTER DRUG/ALCOHOL TEST' 'Alter Drug/Alcohol Test'],['Misdemeanor'],5M,
465,CR.9.604.(a)(2),['FALSE ALARM/AMBULANC CAUSE'],['Misdemeanor' nan],5M,
470,CR.8.103.(b),"['BD CK/UT/STP PAY/$1KTOL/T10K' 'BAD CHECK/STOP PAY/LESS THAN $'
 'Bad Check/Uttering/Stop Payment/Under $500'
 'BD CK/UTTER/STOP PAY/UND $500' 'BD CK/UTTER/STOP PAY/UND $1000'
 'BD CK/ISSUE/STOP PAY/UND $1000' 'BD CK/UTTER/STP PAY/$500 & UP'
 'BD CK/PASS/STOP PAY $500 & UP' 'BD CK/UTTER/STP PAY/$1K TO <$1']",[nan 'Misdemeanor' 'Felony District Court' 'Felony Circuit Court'],5M,
477,CR.8.209.(2),"['False Credit Card: Charge Goods $500 Or Less'
 'FALSE CRD CRD: CHRG GOODS L/T']",['Misdemeanor' nan],5M,
478,PS.3.502.(b),"['PERSONATE POLICE OFFICER' 'Personate Police Officer'
 'IMPERSONATE POLICE OFFICER']",[nan 'Misdemeanor'],5M,
479,BR.17.2103,"['FAIL TO DISPLAY LICENSE'
 'FAIL TO DISPLAY THE REQURIED VALID MD TRADERS LICENSE']",[nan 'Misdemeanor'],5M,
482,CR.2.210.b,['Crim Negligent Manslaughter Vehicle/Vessel' 'CR NEG MANSLGHTR VEH/VESS'],['Misdemeanor'],5M,
485,27.237,['GAMING-KEEP TABLE/PLACE'],['Misdemeanor'],5M,
490,27.207,['FRAUD CONVERSN/LEASE GOODS' 'FRAUD-CONV/LEASED GDS'],['Misdemeanor'],5M,
491,27-123,['Disorderly in Public Place(27-123)'],['Misdemeanor'],5M,
498,CR.6.306.(b),"['MAN SERIAL# RETAIN ITEM'
 'Manufacture Serial# Removed-Retain/Possess/Offer For Sale']",['Misdemeanor' nan],5M,
501,27.141.(c),"['Bad Check/Uttering/Stop Payment/$500 & Up'
 'BD CK/UTTER/STOP PAY/UND $300' 'BD CK/UTTER/STOP PAY/UND $500'
 'BD CK/UTTER/STP PAY/$300 & UP']",['Felony Circuit Court' 'Misdemeanor' 'Felony District Court'],5M,
504,27.145.(g),"['FALSE CRD CRD: CHRG GOODS + $3'
 'False Credit Card: Charge Goods $500 Or Less'
 'CRD CRD:RCV GOODS CHRGD ILL/MS' 'FALSE CRD CRD: CHRG GOODS + $5']",['Felony District Court' 'Misdemeanor'],5M,
507,27.121.(b).-1,['DISTURB PEACE HINDER PASSG'],['Misdemeanor'],5M,
512,CR.10.619.(d)(1),['DANGEROUS DOG FAIL CONFINE' 'Dangerous Dog Fail To Confine'],['Misdemeanor'],5M,
515,CR.8.503.B,['FRAUD-WELFARE' 'Fraud-Welfare'],[nan 'Misdemeanor'],5M,
516,CR.8.610.(2),['POSSESS FORGED PRESCRIP' 'Possess Forged Prescription'],[nan 'Misdemeanor'],5M,
517,CR.8.103.(d),"['BD CK/PASS/NSF/$1K TO <$10K' 'BD CK/PASS/NSF/UND $1000'
 'BAD CHECK/PASS/NSF/$10K TO <$1' 'BD CHCK/PASS/NSF/$25K-<$100K']",['Felony District Court' 'Misdemeanor' nan],5M,
518,27-342,['THEFT' 'Theft Over/Theft Under(27-342)'],['Converted Degree' 'Felony District Court' 'Misdemeanor'],5M,
520,CR.5.708,['CDS-INHALE HARM SUBSTANCE'],[nan 'Misdemeanor'],5M,
524,IN.27.403.(2),"['FALSE/MISLEADING INFO $300+' 'FALSE/MISLEADING INFO < $300'
 'FALSE/MISLEADING INFO FRAUD +$' 'FALSE/MISLEADING INFO +$300'
 'False/Misleading Info Fraud +$300' 'FALSE CLAIM MV THEFT $300+'
 'False/Misleading Info Fraud -$300' 'False Claim Mv Theft $300+']",[nan 'Felony Circuit Court' 'Felony District Court' 'Misdemeanor'],5M,
532,27.145.(d).(i),"['Credit Card: Intent To Defraud-Use Stolen/Illegal Card +$300'
 'CRED CARD ANOTHER CHARG +$300' ""Credit Card/Charge Another's/Over $500""
 'CRED CARD ANOTHER CHARG +$500' 'CRED CRD FORGE CHARG $1-300']",['Felony Circuit Court' 'Felony District Court' 'Misdemeanor'],5M,
534,CR.6.405,['OFF-ROAD VEH/GOV PROPERTY'],['Misdemeanor' nan],5M,
537,27.8.(a),['MALICIOUS BURNING/2ND DEG' 'Malicious Burning/Second Degree'],['Misdemeanor'],5M,
539,CR.7.302.(c)(1)(i),['COMPUTERS ILLEGAL ACCESS' 'Computers Illegal Access'],['Misdemeanor' nan],5M,
542,CR.10.110,"['LITTER/DUMP: OVER 100 LBS' 'CAUSE LITER/DUMP: OVER 500 LBS'
 'CAUSE LITTER/DUMP: OVER 100 LB' 'Litter/Dump: Over 500 Lbs'
 'LITTER/DUMP: OVER 500 LBS']",[nan 'Misdemeanor'],5M,
544,5-601,['Possession of CDS(5-601)'],['Misdemeanor'],5M,
546,IN.23.506,['FRAUD - INSURANCE' 'Fraud - Insurance'],[nan 'Misdemeanor'],5M,
547,27.206,['VEHICL/RENTD:FAIL RETURN' 'Motor Vehicle Rented/Leased: Fail To Return'],['Misdemeanor'],5M,
548,CR.8.204.(b)(i),['Credit Card Lost Receive/Retain'],['Misdemeanor'],5M,
549,1-5212,['HANDGUN ON PERSON'],['Misdemeanor'],5M,
550,27 -145D - - -,"['CRED CARD PERSONATN + $300 (CJIS 1 0203)'
 'CRED CRD/ANOT. CHARG L/T $300 (CJIS 1 0171)'
 'CRED CARD ANOTHER CHARG +$300 (CJIS 1 0201)']",['Misdemeanor'],5M,
562,27 -287 -A - -,"['CDS-UNLAWFUL POSSESSION, ETC.']",['Misdemeanor'],5M,
563,FL -4 -509 - -,"['VIOLATE EXPARTE/PROT ORDER CJIS Code: 2 0254'
 'VIOLATE EXPARTE/PROT ORDER (CJIS 2 0254)' 'VIOLATE EXPARTE/PROT ORDER']",['Converted Degree' 'Misdemeanor'],5M,
564,27.231.(c).-3,['FRAUD-PER.IDENT.AVOID PROS'],['Misdemeanor'],5M,
566,CR.7.301.(d),['ELECTRONIC THEFT - TOOL'],[nan 'Misdemeanor'],5M,
570,27 -577 - - -,"['TRESPASS: POSTED PROPERTY (CJIS 2 2210)'
 'TRESPASS: PRIVATE PROPERTY (CJIS 2 2220)']",['Misdemeanor'],5M,
576,CR.3.215.(b),['Cause Ingest Bodily Fluid' 'CAUSE INGEST BODILY FLUID'],['Misdemeanor'],5M,
577,CR.6.205,['Burglary-Fourth Degree Theft'],['Misdemeanor'],5M,
579,27-287,['CDS - UNLAWFUL POSSESSION ETC' 'Possession Of Cds/Poss Marijua(27-287)'],['Converted Degree' 'Misdemeanor'],5M,
581,1-4801,['RESISTING ARREST'],['Misdemeanor'],5M,
582,27.404,"['TOBACCO PURCH/SELL MINOR' 'TOBACCO PRODS - MINORS'
 'Tobacco Purch/Sell Minor' 'MINOR-SELL TOBACCO TO']",['Misdemeanor'],5M,
586,27.287A..(c),['Cds:Possess Paraphernalia'],['Misdemeanor'],5M,
593,CR -7-203 - - -,['U/U LIVESTOCK MV ETC (CJIS 2_2411)'],['Misdemeanor'],5M,
595,CR.8.801.-B,"['OBTN PROP OF VUL ADULT-L/T $1,']",['Misdemeanor'],5M,
596,CR.7.303,['CABLE TV RECV SERV-FRAUD-PAY'],['Misdemeanor'],5M,
598,27.121.(b).(3),['Failure To Obey A Reasonable And Lawful Order'],['Misdemeanor'],5M,
600,27.145.c.-4,['CRED CRD RECEIV UNLAWFULLY'],['Misdemeanor'],5M,
604,CR.3.903.(c),['CAMERA-PRIVATE RESIDENCE' 'Camera-Private Residence'],['Misdemeanor'],5M,
605,PS.14.3A.08,"['HLTH EMERGNCY FAIL COMPLY'
 'State of Emergency-Health Emergency- Fail Comply']",['Misdemeanor'],5M,
609,CR.7.308.(c),"['RECORDG/UNAUTH SELL, ETC.']",[nan 'Misdemeanor'],5M,
611,27.431,['PROSTITUTION-GENERAL' 'Prostitution-General'],['Misdemeanor'],5M,
612,27.122,['DISORDERLY HOUSE' 'Disorderly House' 'DISTRB PEACE PUB PLACE ETC.'],['Misdemeanor'],5M,
614,CR.7.301.(c),['ELECTRONIC THEFT DEVICE'],[nan 'Misdemeanor'],5M,
615,7-104(g)(2),['Theft of property or services with a value of less than $1000(7-104(g)(2))'],['Misdemeanor' 'Other'],5M,
618,TG.13.1014.(a)(2),"['CIGS. POSS OF UNSTAMPED L/T 30' 'CIGS. SALE OF UNSTAMPED'
 'Cigs. Poss Of Unstamped Less Than 30 Cartons']",[nan 'Misdemeanor'],5M,
619,CR.8.504,"['Public Assistance - False Application' ""PUB ASST - FALSE APPLIC'N""]",['Misdemeanor' nan],5M,
626,CR.3.1001,['THREAT OF MASS VIOLENCE'],['Misdemeanor'],5M,
629,27.15.(g),['PROSTITU:ENGAGE IN'],['Misdemeanor'],5M,
633,ED.26.102.(e)(3),['SCHL:TRESPASS/DAMAGE PROP'],['Misdemeanor' nan],5M,
635,CR.3.708.(b),['THREAT/ST OFFICIAL/TO INJURE' 'Threat/State Official/To Injure'],[nan 'Misdemeanor'],5M,
637,27.121.(b).(5),['Disturb Peace - Loud Noise'],['Misdemeanor'],5M,
644,27.145.C.-1,['CRED CARD/STOLEN:RECEIVE'],['Misdemeanor'],5M,
645,CR.6.108,['ARSON-TRASH CONTAINERS'],[nan 'Misdemeanor'],5M,
647,27.467A,"['Recording:Sell/Rent/Distribute-No Transferor/Performer Name'
 'RECORDING:SELL, ETC.']",['Misdemeanor'],5M,
651,4-203(A)(1)(I){c},['Carry Handgun(4-203(A)(1)(I){c})'],['Misdemeanor'],5M,
654,27 -145C1 - - -,"[""CRED CARD:STEAL ANOTHER'S (CJIS 1 2399)""]",['Misdemeanor'],5M,
655,CR.8.509.-1,"['DEFRAUD STATE HEALTH CARE $1,000+' 'DEFRAUD STATE HEALTH CARE L/T $1500'
 'DEFRAUD STATE HEALTH CARE $500+' 'DEFRAUD STATE HEALTH CARE <$50']",['Felony Circuit Court' 'Misdemeanor'],5M,
661,CR.6.408,['TRESPASS- PEEPING TOM' 'TRESPASS-PEEPING TOM'],[nan 'Misdemeanor'],5M,
664,27-287A,['DRUG PARAPHERNALIA' 'PWID of Para(27-287A)'],['Converted Degree' 'Misdemeanor'],5M,
675,CR.7.104.(3),['Theft Less Than $100.00'],['Misdemeanor'],5M,
679,27 -31A - - -,['B&E-DWELLING'],['Misdemeanor'],5M,
680,27.301,['CDS-INHALE HARM SUBSTANCE'],['Misdemeanor'],5M,
688,CR.8.523,['FALSE STMT HOUSING ASSISTANCE'],[nan 'Misdemeanor'],5M,
690,IN.27.403.-2,['FALSE/MISLEADING INFO $300+' 'FALSE/MISLEADING INFO FRAUD +$'],['Felony District Court'],5M,
699,27.287.(b).-3,['CDS OBTN BY CONCEAL FLS ID'],['Misdemeanor'],5M,
705,CR.6.406,['TRESPASS-CULTIVATED LAND'],['Misdemeanor'],5M,
712,TR -16-112 -E - -,['MV-GIVING FALSE ID TO POLICE'],['Misdemeanor' 'Converted Degree'],5M,
715,27.56,"['FORGERY-TICKETS/COUPON ETC.' 'UTTER FORGED TICKET, ETC.']",['Misdemeanor'],5M,
717,3A2399,['ATT-THEFT: LESS $300 VALUE'],['Misdemeanor'],5M,
721,PS.7.402.(a),['OBSTRUCT FIREFIGHTERS ETC.'],['Misdemeanor' nan],5M,
726,ED.26.104,"['POSSESS OF PORTABLE PAGER' 'OBSTRUCT SCHOOL BUS DRIVER'
 'Obstruct School Bus Driver']",[nan 'Misdemeanor'],5M,
729,CR.8.301.(c)(2)(iii),"['FRAUD-PER ID AVOID PAY UND $1,' 'FRAUD-PER ID AVOID PAY $1K-<10']",[nan 'Misdemeanor'],5M,
732,CL086,"['Theft Scheme more than $100,000.00(CL086)']",['Misdemeanor'],5M,
735,9-501,['False Stmt to Police Officer(9-501)'],['Misdemeanor'],5M,
738,RP.10.506,['Fail To Include Disclosure/Certificate'],['Misdemeanor'],5M,
742,27.156,"['FALSE ALARM/AMBULANC CAUSE' 'FALSE ALARM/FIRE:CAUSE'
 'FALSE ALARM/AMBULANCE:CAUSE' 'False Alarm/Fire: Give/Cause To Be Given']",['Misdemeanor'],5M,
748,TG.12.305,['Possess/Sell Unstamped Cigarettes' 'Poss/Sale No Stamp Cig -30 Ctns'],['Misdemeanor'],5M,
750,27.577A,['TREPASS PUB AGNCY DUR HRS'],['Misdemeanor'],5M,
759,CR.6.305.(c)(1),['WATER SUP CONNECT UNLAWFUL' 'WTR SUP PROP/EQUIP:TAMPER'],['Misdemeanor'],5M,
760,CR.8.301(c)(2)(iii),['FRAUD-PER ID AVD PY 1500-<25K' 'FRAUD-PER ID AVD PY 100-<1500'],['Felony District Court' 'Misdemeanor'],5M,
761,27.36B,['Handgun on Person' 'Handgun in Vehicle'],['Misdemeanor'],5M,
769,CR.7.302.(c)(2)(ii),['COMPUTER/ILL. ACC/ALTER DATA' 'COMPUTER/ILL. ACC/ALTER DATA<$'],['Misdemeanor' nan],5M,
770,1-0175,['HANDGUN IN VEHICLE'],['Misdemeanor'],5M,
773,27-36B,"['HANDGUN - WEAR//CARRY, ETC' 'Transport/Wear/Carry Handgun(27-36B)']",['Converted Degree' 'Misdemeanor'],5M,
777,27.231.(c).(1),['Fraud-Per.Ident.Info.Theft'],['Misdemeanor'],5M,
780,27.121.(b).(4),['Disturb The Peace'],['Misdemeanor'],5M,
788,27-111,['MAL/DEST - PROP OF ANOTHER' 'Destroying Property of Another(27-111)'],['Converted Degree' 'Misdemeanor'],5M,
790,CR.8.612.(b)(2),"['UTTER FORGED TICKET, ETC.' 'Utter Forged Ticket, Etc.']",[nan 'Misdemeanor'],5M,
791,CR.6.503.(d)(1),['TRESPASS-RAILROAD PROPERTY' 'Trespass-Railroad Property'],[nan 'Misdemeanor'],5M,
792,27.121,"['DISTURB PEACE:HINDER PASSAGE' 'DISTURB PEACE:LOUD NOISE'
 'DISTURB PEACE:PROFANITY']",['Misdemeanor'],5M,
794,27.145.c.(1),['Credit Card: Take/Steal/Carry Belonging To Another'],['Misdemeanor'],5M,
797,3-4030,['MAL DESTR PROP VALUE + $500'],['Misdemeanor'],5M,
798,27.111B,['MAL DEST MISSILES AT VEH.'],['Misdemeanor'],5M,
799,27.141.(b),"['BD CK/PASS/NSF/UND $500' 'BD CK/PASS/NSF/$300 & UP'
 'BD CK/PASS/NSF/$500 & UP' 'BD CK/PASS/NSF/UND $300']",['Misdemeanor' 'Felony District Court'],5M,
810,cl,"['vop/dca' 'Violation of Probation'
 'Conspiracy to Commit False or Misleading Claims'
 'ATTEMPTED: cds Possession with Intent to Distribute' 'VOP/DCA'
 'Unlawful Use M/V' 'VOP/DCA for theft: Less $1,000 Value'
 'Cons:CDS:Poss With Intent to Distribute: School Bus/Property'
 'Poss Open Cont Of Alcohol'
 'VOP District Court Appeal (Ct 1 Theft: Less $1,000 Value)']",['Misdemeanor' 'Converted Degree' 'Felony Circuit Court'],5M,
815,CR.8.503,['Fraud-Welfare'],['Misdemeanor'],5M,
822,CR.12.102.(3)(4),['GAMBL-KEEP/USE/PERMIT PLAC'],['Misdemeanor'],5M,
825,CR.13.2411,['BINGO-WASHINGTON COUNTY'],['Misdemeanor'],5M,
826,27.287A,['CDS: Possess - Drug Paraphernalia' 'Converted Offense Code'],['Misdemeanor'],5M,
829,2-0050,['DISORDERLY CONDUCT'],['Misdemeanor'],5M,
831,2-3040,['BURGLARY-4TH DEGREE THEFT'],['Misdemeanor'],5M,
833,27.285,['CDS OPIATE W/O PRESCRIPT.'],['Misdemeanor'],5M,
836,27.11D,['OBSTRUCT FIREFIGHTERS ETC.'],['Misdemeanor'],5M,
837,6-105(b),['Arson(6-105(b))'],['Misdemeanor'],5M,
839,CR.7.303.(c)(2),['CABLE TV PREVNT OBST PROG'],['Misdemeanor'],5M,
840,27.287.(d).-2,['CDS PACK MATERL POSS/DISTR'],['Misdemeanor'],5M,
842,LocalCode,"['WEAPONS, EXCEPT THOSE PROPERLY PACKAGED FOR SHIPMENT, ARE PROHIBITED (Comar11.03.01.01(c))'
 'OPEN CONTAINER' 'SOLICIT W/O LICENSE' '58-123 Poss Martial Arts Weapon']",['Misdemeanor'],5M,
843,27.230C,['MEDICAD CONCEL FRD LS $500'],['Misdemeanor'],5M,
845,CR.10.120,['FAIL:PROOF OF AGE AND ID'],[nan 'Misdemeanor'],5M,
849,27.48A,['Counterfeit Trademark/Under $1000' 'COUNTERFEIT TM/UNDER $1000'],['Misdemeanor'],5M,
850,CR.6.409.(a)(2),['TRESPASS-REFUSE TO LEAVE' 'TRESPAS PUB AGNCY AFTER HR'],[nan 'Misdemeanor'],5M,
851,27 -121 -B -2-,['DISORDERLY CONDUCT (CJIS 2 0050)'],['Misdemeanor' 'Converted Degree'],5M,
857,CR.9.608,['INTENTIONAL FLSALARM/BURG-ROB' 'INTENTIONAL FALSEALARM'],['Misdemeanor'],5M,
862,CR.3.211.(e),"['Life Threatening Injury/Vehicle-Boat/Drugs'
 'LIFE THRT INJ/VEH-BOAT/DRUGS']",['Misdemeanor'],5M,
863,LE.9.1106,"['FALSE CLAIMS WORKMENS COMP' 'False Claims Workmens Comp'
 'False Claims Under $500' 'FALSE CLAIMS OVER $500']",['Felony District Court' 'Misdemeanor' nan],5M,
864,27.231.(c).-2,['FRAUD-PER.IDENT.AVOID PAY'],['Misdemeanor'],5M,
874,1-0340,['TEL MISUSE:REPEAT CALLS'],['Misdemeanor'],5M,
875,CR.7.315,['TELECOMMUNICATION SERVICE-FRAU'],['Misdemeanor'],5M,
879,2-1955,['FAIL OBEY RENBLE/LAWFL'],['Misdemeanor'],5M,
880,NR.10.410.(c),['Loaded Weapon' 'LOADED WEAPON'],['Misdemeanor'],5M,
883,CR.3.708.-C,['THREAT/ST OFFICIAL/SENT'],['Misdemeanor'],5M,
884,TG.13.1014.b,['TOBACCO PROD W/O TAX PAID'],[nan 'Misdemeanor'],5M,
885,27 -145 -D - -,['CRED CAR ANOTHER CHARG + $500.00 (CJIS 3 4125)'],['Misdemeanor'],5M,
897,CR.8.206.(1)(2),"['OBT PROP BY COUNTERFT UND $1,0' 'OBT PROP BY COUNTERFT UND $1,000']",['Misdemeanor'],5M,
902,CP.5.211.(b),['FTA/MISD DEF/WITNESS' 'FTA/MISDEMEANOR DEFENDANT' 'FTA/FELONY DEFENDANT'],[nan 'Misdemeanor'],5M,
906,27.578,['TRESPASS PUB AGNCY DUR HRS'],['Misdemeanor'],5M,
909,27.151,['FALSE STMT STATE OFFICIAL'],['Misdemeanor'],5M,
917,BR.16.301,['FAIL OBTN CIGARETTE LICNSE'],[nan 'Misdemeanor'],5M,
929,27-576,['Trespassing(27-576)'],['Misdemeanor'],5M,
931,27.141.(d),['BD CK/PASS/STP PAY/UND $300'],['Misdemeanor'],5M,
932,CR.8.203,['CRED CRD APLY FOR/FALSE ID'],[nan 'Misdemeanor'],5M,
939,27 -403 - - -,['FALSE INSURANCE CLAIM (CJIS 3 0125)'],['Misdemeanor'],5M,
941,27.400 A,['POSSESS ALCOHOL BEV UNDER 21'],['Misdemeanor'],5M,
942,CR.8.301(f),['ID FRAUD-INDUCE ANOTH PROV'],['Misdemeanor'],5M,
943,27.31A,['B&E DWELLING'],['Misdemeanor'],5M,
947,27 -145B - - -,['CRED CRD APLY FOR/FALSE ID (CJIS 1 2607)'],['Misdemeanor'],5M,
948,TG.12.305.(a),['Possess/Sell Unstamped Cigarettes'],['Misdemeanor'],5M,
955,NR.8-738.(a).-2,"['OP. VESSEL/DWI, CDS, ETC.']",['Misdemeanor'],5M,
957,27.287A.(d).(1),['Cds:Distribute Paraphernalia'],['Misdemeanor'],5M,
965,NR.8-738.(a).(2),"['Operate Vessel/Dwi, Cds, Etc.' 'Operate Vessel/DWI']",['Misdemeanor'],5M,
966,CR.7.308.(d))(i)(ii),['Recording:Sell/Rent/Distribute-No Transferor/Performer Name'],['Misdemeanor'],5M,
969,CR -9-501 - - -,['FALSE STATEMENT TO OFFICER (CJIS 1_4803)'],['Misdemeanor'],5M,
977,1-2545,['COUNTERFEIT TM/UNDER $1000'],['Misdemeanor'],5M,
980,27-150(a),['False Stmt - Police Officer(27-150(a))'],['Misdemeanor'],5M,
986,27 -145C4 - - -,['CRED CRD RECEIV UNLAWFULLY (CJIS 1 2803)'],['Misdemeanor'],5M,
990,27.245,"['GAMING/CARDS, DICE, ETC.']",['Misdemeanor'],5M,
992,RP.14.111,['OBLIT/DAM/REM PROP MARKER'],['Misdemeanor'],5M,
995,EL.13.327,['FAIL TO FILE CAMPAIGN FINANCE'],['Misdemeanor'],5M,
996,CR 10-110,['LITTER/DUMP: L/T 100 LBS-VEHICLE' 'LIT/DUMP: L/T 100 LBS-VEH'],['Misdemeanor'],5M,
997,4-203(A)(1)(II){t},['Transport Handgun on Roadway et al(4-203(A)(1)(II){t})'],['Misdemeanor'],5M,
999,CP.5-211b,['Fail To Appear/Misd Def/Witness' 'Fail To Appear / Felony Defendant'],['Misdemeanor' 'Felony Circuit Court'],5M,
1000,27.287.(c),['CDS REMOVE/ALTR REQD LABEL'],['Misdemeanor'],5M,
1001,27.45A,['PUBLIC RECORD-FALSE ENTRY'],['Misdemeanor'],5M,
1003,27 -36B -B - -,['HANDGUN-WEAR/CARRY ETC'],['Misdemeanor'],5M,
1005,PS.14.114,['SOE - MEMA WILLFUL VIOLATION'],['Misdemeanor'],5M,
1008,NR.8.738.(a)(1),['OP. VESSEL/IUNDER INFLUENCE' 'Operate Vessel/Iunder Influence'],['Misdemeanor'],5M,
1012,CR.10.302,['RELIGIOUS PROPERTY:DEFACE' 'Religious Property: Deface'],['Misdemeanor'],5M,
1016,EN.2.609.1.(b)(1)(ii,['FAIL TO OBTAIN PERMIT/APPROVAL'],['Misdemeanor'],5M,
1018,7-203(a)(2),['Unauthorized removal of property: a motor vehicle(7-203(a)(2))'],['Misdemeanor'],5M,
1020,ED.26.102.(e)(2),['SCHL TRESPAS/REFUS LV BLDG'],[nan 'Misdemeanor'],5M,
1021,PS.6.602.(b),['OBSTRUCT FIRE MARSH INVEST'],['Misdemeanor'],5M,
1024,CL005,['Murder 1st Degree(CL005)'],['Misdemeanor'],5M,
1025,6-301 {o},['Malicious Destruction/Over(6-301 {o})'],['Misdemeanor'],5M,
1029,CR.8.103.(e),['BD CK/PASS/STP PAY/UND $1000'],['Misdemeanor'],5M,
1032,27 -121 -B3 - -,['FAIL OBEY RENBLE/LAWFL (CJIS 2 0055)'],['Misdemeanor'],5M,
1036,CR.3.904.(c),['DISTURB:DWELLING/ASSEMBLY'],['Misdemeanor'],5M,
1037,27 -132 - - -,['EMBEZZLE-MISAPPROPRIATE (CJIS 1 0460)'],['Misdemeanor'],5M,
1040,CR.6.307.(a)(2),['POSS SERIAL #/FRAUD PURPOSES'],[nan 'Misdemeanor'],5M,
1050,27-577,['Trespass On Private Property(27-577)' 'TRESPASS - WANTON'],['Misdemeanor' 'Converted Degree'],5M,
1053,27-36B(d),['Use Handgun/Crime Of Viol/Comm(27-36B(d))'],['Misdemeanor'],5M,
1064,C27-284,['Cns: Distribution Of CDS(C27-284)'],['Misdemeanor'],5M,
1065,CR 10 107 (b)(2),['Tobacco Products - Under 21'],['Misdemeanor'],5M,
1068,27 -442 - - -,"['PISTOL:FALSE APPLICATION/PURCH (CJIS 1 5210)'
 'PISTOL:FALSE APPLICATION/PURCH CJIS Code: 1 5210']",['Misdemeanor' 'Converted Degree'],5M,
1070,CR.8.204.(c),['CRED CRD SELL/BUY UNLAWFUL'],['Misdemeanor'],5M,
1072,CR.6.503,['RR:ON EQUIPT W/O AUTHORITY'],['Misdemeanor'],5M,
1079,2B.1.201.(a)(2),['ALC UNLIC SALE&POS SUFFER'],[nan 'Misdemeanor'],5M,
1089,27.31B,['B&E-STOREHOUSE ETC'],['Misdemeanor'],5M,
1091,NR.1.206,['FAIL COMPLY W/LAWFUL ORDER'],['Misdemeanor'],5M,
1092,2-0105,['PEACE ORDER: FAIL TO COMPLY'],['Misdemeanor'],5M,
1096,CR.8.503.(b),['Fraud-Welfare'],['Misdemeanor'],5M,
1098,27 -287 -B5 - -,['CDS-CONSP TO VIOLATE CDS LAWS'],['Misdemeanor'],5M,
